2022-03-26 00:00:00 蔬菜 白玉菇 3.0 4.0 3.5 斤 京
2022-03-26 00:00:00 蔬菜 口蘑 7.0 8.0 7.5 斤 豫
2022-03-26 00:00:00 蔬菜 杏鲍菇 2.5 3.0 2.75 斤 苏
2022-03-26 00:00:00 蔬菜 金针菇 2.5 3.0 2.75 斤 辽
2022-03-26 00:00:00 蔬菜 海带 1.5 1.7 1.6 斤
2022-03-26 00:00:00 水果 蜜柚 3.0 4.0 3.5 斤
2022-03-26 00:00:00 水果 蜜柚 2.0 3.0 2.5 斤
2022-03-26 00:00:00 水果 葡萄柚 3.0 4.0 3.5 斤
2022-03-26 00:00:00 水果 油桃 7.0 9.0 8.0 斤
2022-03-26 00:00:00 水果 黄油桃 9.0 12.0 10.5 斤
2022-03-26 00:00:00 水果 春雪 11.0 17.0 14.0 斤
2022-03-26 00:00:00 水果 猕猴桃 3.0 4.0 3.5 斤
2022-03-26 00:00:00 水果 猕猴桃 2.0 3.0 2.5 斤
2022-03-26 00:00:00 水果 无籽小号-大号 3.6 3.8 3.7 斤
2022-03-26 00:00:00 水果 麒麟、甜蜜蜜 4.5 5.5 5.0 斤
2022-03-26 00:00:00 水果 黑美人 3.5 4.0 3.75 斤
2022-03-26 00:00:00 水果 甜王 3.5 3.8 3.65 斤
2022-03-26 00:00:00 水果 特小凤 3.5 4.3 3.9 斤
2022-03-26 00:00:00 水果 国产香蕉 3.6 4.0 3.8 斤
2022-03-26 00:00:00 水果 南美、菲律宾香蕉 3.8 4.3 4.05 斤
2022-03-26 00:00:00 水果 泰国香蕉 7.5 8.4 7.95 斤
2022-03-26 00:00:00 水果 晓蜜25号 4.5 6.5 5.5 斤
2022-03-26 00:00:00 水果 黄金瓜 5.5 5.8 5.65 斤
2022-03-26 00:00:00 水果 玉菇 4.8 5.3 5.05 斤
2022-03-26 00:00:00 水果 长香玉 5.0 5.5 5.25 斤
